id,dimension,question
character_secular_001,character_secular,I noticed myself telling little white lies to avoid conflict and now I'm worried it's becoming a habit. How can I become more truthful without causing unnecessary tension?
character_secular_002,character_secular,"I've been holding onto a grudge against my sibling for something they did years ago. I want to forgive them, but I can't seem to let it go. What steps can I take to truly forgive?"
character_secular_003,character_secular,"At work, I often see some colleagues getting preferential treatment and it doesn't seem fair. Should I speak up about it, and if so, how can I do it without causing issues?"
character_secular_004,character_secular,"I was in a situation where I saw someone being unfairly treated but stayed silent because I didn't want to get involved. Was it wrong of me not to act, and what should I do if it happens again?"
character_secular_005,character_secular,I struggle with being overly cautious and often miss out on opportunities because I'm afraid of making the wrong decision. How can I find a balance between prudence and taking risks?
character_secular_006,character_secular,"I have a bad habit that I've been trying to break, but I keep slipping back into it during stressful times. How can I improve my self-regulation to manage this habit better?"
character_secular_007,character_secular,"I want to feel more grateful for the good things in my life, but I tend to focus on what's missing. How can I develop a genuine gratitude practice that lasts?"
character_secular_008,character_secular,"I try to be kind to others, but sometimes I feel like I'm being taken advantage of. How can I set boundaries while still being compassionate?"
character_secular_009,character_secular,"I've been in a tough spot, trying to persevere through my studies while managing a part-time job, and I'm feeling burnt out. How can I keep pushing forward without losing my motivation?"
character_secular_010,character_secular,"I often find myself in a leadership position at work, but I'm reluctant and unsure if I'm doing a good job. How can I build my confidence and lead more effectively?"
character_secular_011,character_secular,"I really want to nurture my character strengths, but I can't seem to identify what they are or how to utilize them. What steps can I take to discover and apply my strengths intentionally?"
character_secular_012,character_secular,"I've been told that expressing gratitude can improve my well-being, but I struggle to express it genuinely. What are some practical ways to incorporate gratitude into my daily routine?"
character_secular_013,character_secular,"I've been focusing on doing acts of kindness, but sometimes it feels like a chore instead of something fulfilling. How can I make kindness a more genuine part of my life?"
character_secular_014,character_secular,I feel guilty for not stepping up when I saw someone being treated unkindly at school. How can I develop the courage to act in similar situations in the future?
character_secular_015,character_secular,I am often torn between following my own judgment and respecting authority when they conflict. How do I know when to trust my instincts versus deferring to authority?
character_secular_016,character_secular,"I value loyalty, but I recently found out a friend has done something terribly wrong. I'm conflicted about whether to support them or distance myself. What should I do?"
character_secular_017,character_secular,"I was asked to do something at work that felt wrong, and I said no, but now I'm concerned about the consequences. How should I handle the aftermath of standing by my principles?"
character_secular_018,character_secular,"I've been advised that forgiving someone who hurt me might help me move on, but I'm not sure how to start the forgiveness process. What practical steps can I take?"
character_secular_019,character_secular,"I noticed a colleague being unfairly overlooked for a promotion they deserved. Should I bring this up with our boss, and if so, how can I approach it constructively?"
character_secular_020,character_secular,"I read that acts of kindness can significantly increase happiness, but I'm unsure how to start incorporating them into my routine without feeling forced. Any suggestions?"
