id,dimension,model,question,correct_answer,raw_response,extracted,is_correct
faith_obj_001,faith,gemini_2_5_flash_gloo," During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?",A,A,A,True
faith_obj_002,faith,gemini_2_5_flash_gloo, Which goddess is worshipped during the festival of Divali?,B,B,B,True
faith_obj_003,faith,gemini_2_5_flash_gloo, Rome claimed that their bishop (pope) was the director successor of which leader?,A,A,A,True
faith_obj_004,faith,gemini_2_5_flash_gloo,Which term is usually associated with women in Hindu traditions?,C,C,C,True
faith_obj_005,faith,gemini_2_5_flash_gloo, Which of the following is the timespan for Japan's closure to Christianity and Europe?,C,C,C,True
faith_obj_006,faith,gemini_2_5_flash_gloo,The Jataka tales are a collection of which genre of stories?,C,C,C,True
faith_obj_007,faith,gemini_2_5_flash_gloo,Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,A,A,A,True
faith_obj_008,faith,gemini_2_5_flash_gloo," What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",A,A,A,True
faith_obj_009,faith,gemini_2_5_flash_gloo,What does the term anatman mean?,D,D,D,True
faith_obj_010,faith,gemini_2_5_flash_gloo, The theological term homoousios means which of the following?,B,B,B,True
faith_obj_011,faith,gemini_2_5_flash_gloo," Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",A,C,C,False
faith_obj_012,faith,gemini_2_5_flash_gloo, What can murtis be translated as?,D,D,D,True
faith_obj_013,faith,gemini_2_5_flash_gloo, Self-sacrifice is an important theme for which Buddhist thinker?,A,A,A,True
faith_obj_014,faith,gemini_2_5_flash_gloo,Which of the following is considered the most sacred text in Islam?,C,C,C,True
faith_obj_015,faith,gemini_2_5_flash_gloo, Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,C,C,C,True
faith_obj_016,faith,gemini_2_5_flash_gloo,The central prayer in Jainism is known by which of the following names?,A,A,A,True
faith_obj_017,faith,gemini_2_5_flash_gloo, Charism can be defined as which of the following?,C,C,C,True
faith_obj_018,faith,gemini_2_5_flash_gloo,"What is the term for commentary on the Qur'an, which means ""unveiling""?",D,D,D,True
faith_obj_019,faith,gemini_2_5_flash_gloo,What has been a central focus of religious traditions in China and Korea?,A,A,A,True
faith_obj_020,faith,gemini_2_5_flash_gloo, Who is associated with the stigmata and preaching to birds?,C,C,C,True
faith_obj_021,faith,gemini_2_5_flash_gloo, How old was Guru Nanak when he started to preach the message of the divine Name?,A,A,A,True
faith_obj_022,faith,gemini_2_5_flash_gloo,How many Jinas have appeared during our age?,C,C,C,True
faith_obj_023,faith,gemini_2_5_flash_gloo,"Which of the following does the term ""Arhats"" refer to?",A,B,B,False
faith_obj_024,faith,gemini_2_5_flash_gloo,"What does the word ""Islam"" mean in Arabic?",B,B,B,True
faith_obj_025,faith,gemini_2_5_flash_gloo,The philosopher Laozi is associated with which tradition?,D,D,D,True
faith_obj_026,faith,gemini_2_5_flash_gloo,"The ""Flower Sermon"" is associated with which form of Buddhism?",B,B,B,True
faith_obj_027,faith,gemini_2_5_flash_gloo, What is the name of the Jewish prayer used for mourning since the Middle Ages?,B,B,B,True
faith_obj_028,faith,gemini_2_5_flash_gloo,Which are the synoptic Gospels?,C,C,C,True
faith_obj_029,faith,gemini_2_5_flash_gloo,What is the communal meal offered at the place of worship called in Sikhism?,B,B,B,True
faith_obj_030,faith,gemini_2_5_flash_gloo, Who declared Muhammad a prophet?,C,C,C,True
faith_obj_031,faith,gemini_2_5_flash_gloo, Which bodhisattva is known for conducting the souls of dead children to salvation?,C,C,C,True
faith_obj_032,faith,gemini_2_5_flash_gloo, The Continental Reformation started in what year?,B,B,B,True
faith_obj_033,faith,gemini_2_5_flash_gloo," In his final work, Laws, Plato shifted from cosmology to which of the following issues?",B,B,B,True
faith_obj_034,faith,gemini_2_5_flash_gloo, With which branch of Islam are the Isma'ilis are associated?,B,B,B,True
faith_obj_035,faith,gemini_2_5_flash_gloo,Which god supplanted the earlier Mesopotamian supreme god Enil?,C,C,C,True
faith_obj_036,faith,gemini_2_5_flash_gloo, The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,A,A,A,True
faith_obj_037,faith,gemini_2_5_flash_gloo, The Maccabean Revolt is associated with which ruler?,D,D,D,True
faith_obj_038,faith,gemini_2_5_flash_gloo,Pure Land Buddhism belongs to which school?,C,C,C,True
faith_obj_039,faith,gemini_2_5_flash_gloo, Icons are a main feature of which church?,C,C,C,True
faith_obj_040,faith,gemini_2_5_flash_gloo,"According to the Japanese origin myth, who gives birth to Amaterasu from his left eye?",B,B,B,True
faith_obj_041,faith,gemini_2_5_flash_gloo,Who is the founder of Sikhism?,B,B,B,True
faith_obj_042,faith,gemini_2_5_flash_gloo," How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?",B,A,A,False
faith_obj_043,faith,gemini_2_5_flash_gloo, Which of the following does NOT describe the Ka'ba?,A,A,A,True
faith_obj_044,faith,gemini_2_5_flash_gloo, Mani referred to God by which of the following names?,B,B,B,True
faith_obj_045,faith,gemini_2_5_flash_gloo," Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",C,C,C,True
faith_obj_046,faith,gemini_2_5_flash_gloo,What is the name of the Hindu community associated with environmental activism?,B,B,B,True
faith_obj_047,faith,gemini_2_5_flash_gloo,Which is the largest Muslim country in the world with more than 200 million adherents?,C,C,C,True
faith_obj_048,faith,gemini_2_5_flash_gloo, What is the meaning ofsamyak jnanawithin the Jaina traditions?,C,A,A,False
faith_obj_049,faith,gemini_2_5_flash_gloo,When did the first Jaina temples appear?,B,A,A,False
faith_obj_050,faith,gemini_2_5_flash_gloo, What was one of the distinctive beliefs or practices of the southerners (Digambara)?,B,B,B,True
