id,dimension,model,question,correct_answer,raw_response,extracted,is_correct
meaning_obj_001,meaning,claude_sonnet_4_5,Prejudice or bias against older adults is referred to as,A,A,A,True
meaning_obj_002,meaning,claude_sonnet_4_5,The insurance program for poor people of all ages is called,B,B,B,True
meaning_obj_003,meaning,claude_sonnet_4_5,An increased frequency of urination in older adults is most likely caused by,B,B,B,True
meaning_obj_004,meaning,claude_sonnet_4_5,"With respect to job training, younger workers",A,A,A,True
meaning_obj_005,meaning,claude_sonnet_4_5,The different components of memory should be thought of as,C,C,C,True
meaning_obj_006,meaning,claude_sonnet_4_5,The most frequent chronic condition for older adults is,B,B,B,True
meaning_obj_007,meaning,claude_sonnet_4_5,Comorbidity is a problem for older adults because it,A,A,A,True
meaning_obj_008,meaning,claude_sonnet_4_5,Older adults may be more attached to a place than younger adults because,A,A,A,True
meaning_obj_009,meaning,claude_sonnet_4_5,The docility hypothesis is that,A,B,B,False
meaning_obj_010,meaning,claude_sonnet_4_5,"According to research on memory, which of the following best describes how memories are stored?",B,B,B,True
meaning_obj_011,meaning,claude_sonnet_4_5,Which of the following does NOT increase the risk of falling?,C,C,C,True
meaning_obj_012,meaning,claude_sonnet_4_5,Validation therapy refers to treatments in which the person with dementia,B,B,B,True
meaning_obj_013,meaning,claude_sonnet_4_5,"According to Erik Erikson's theory of psychosocial development, the primary conflict faced in late adulthood is:",A,A,A,True
meaning_obj_014,meaning,claude_sonnet_4_5,The term Baby Boom Generation refers to people who,C,C,C,True
meaning_obj_015,meaning,claude_sonnet_4_5,"If we found that adult age was significantly and positively correlated with consumption of herbal teas, we could conclude that",D,D,D,True
meaning_obj_016,meaning,claude_sonnet_4_5,"All other things being equal, which of the following persons is likely to live the longest?",D,D,D,True
meaning_obj_017,meaning,claude_sonnet_4_5,One line of evidence against antagonistic pleiotropy is that,A,B,B,False
meaning_obj_018,meaning,claude_sonnet_4_5,Older married men have been found to have,D,D,D,True
meaning_obj_019,meaning,claude_sonnet_4_5,The woman who conducted a longitudinal study on herself and found increased retrieval difficulty as she got older was named,B,C,C,False
meaning_obj_020,meaning,claude_sonnet_4_5,Middle-aged adults appear to be more ____ than older or younger adults,A,A,A,True
meaning_obj_021,meaning,claude_sonnet_4_5,Surveys of older adults who are living together show that they tend to view cohabitation as,B,B,B,True
meaning_obj_022,meaning,claude_sonnet_4_5,A researcher finds that age is negatively correlated with cigarette smoking; this means that,C,C,C,True
meaning_obj_023,meaning,claude_sonnet_4_5,Most people who have used physician assisted suicide have had,B,B,B,True
meaning_obj_024,meaning,claude_sonnet_4_5,Human factors examines the performance of different tasks by examining,B,B,B,True
meaning_obj_025,meaning,claude_sonnet_4_5,Some work on age stereotypes suggests that,B,B,B,True
meaning_obj_026,meaning,claude_sonnet_4_5,With respect to hair loss,B,B,B,True
meaning_obj_027,meaning,claude_sonnet_4_5,The dementia that results from a long-term deficiency of thiamine is one type of ____ dementia,B,B,B,True
meaning_obj_028,meaning,claude_sonnet_4_5,Information coming into our cognitive system is thought to first enter a,A,A,A,True
meaning_obj_029,meaning,claude_sonnet_4_5,About how many grieving individuals seem to require some professional help?,B,B,B,True
meaning_obj_030,meaning,claude_sonnet_4_5,Which of the following is NOT one of the more frequently named activities by those who are retired?,C,A,A,False
meaning_obj_031,meaning,claude_sonnet_4_5,Which of the following assessment measures is not used to assess symptom validity or malingering?,B,B,B,True
