id,dimension,model,question,correct_answer,raw_response,extracted,is_correct
meaning_obj_001,meaning,gemini_2_5_flash,Prejudice or bias against older adults is referred to as,A,A,A,True
meaning_obj_002,meaning,gemini_2_5_flash,The insurance program for poor people of all ages is called,B,B,B,True
meaning_obj_003,meaning,gemini_2_5_flash,An increased frequency of urination in older adults is most likely caused by,B,B,B,True
meaning_obj_004,meaning,gemini_2_5_flash,"With respect to job training, younger workers",A,A,A,True
meaning_obj_005,meaning,gemini_2_5_flash,The different components of memory should be thought of as,C,C,C,True
meaning_obj_006,meaning,gemini_2_5_flash,The most frequent chronic condition for older adults is,B,B,B,True
meaning_obj_007,meaning,gemini_2_5_flash,Comorbidity is a problem for older adults because it,A,A,A,True
meaning_obj_008,meaning,gemini_2_5_flash,Older adults may be more attached to a place than younger adults because,A,A,A,True
meaning_obj_009,meaning,gemini_2_5_flash,The docility hypothesis is that,A,A,A,True
meaning_obj_010,meaning,gemini_2_5_flash,"According to research on memory, which of the following best describes how memories are stored?",B,B,B,True
meaning_obj_011,meaning,gemini_2_5_flash,Which of the following does NOT increase the risk of falling?,C,C,C,True
meaning_obj_012,meaning,gemini_2_5_flash,Validation therapy refers to treatments in which the person with dementia,B,B,B,True
meaning_obj_013,meaning,gemini_2_5_flash,"According to Erik Erikson's theory of psychosocial development, the primary conflict faced in late adulthood is:",A,A,A,True
meaning_obj_014,meaning,gemini_2_5_flash,The term Baby Boom Generation refers to people who,C,C,C,True
meaning_obj_015,meaning,gemini_2_5_flash,"If we found that adult age was significantly and positively correlated with consumption of herbal teas, we could conclude that",D,D,D,True
meaning_obj_016,meaning,gemini_2_5_flash,"All other things being equal, which of the following persons is likely to live the longest?",D,D,D,True
meaning_obj_017,meaning,gemini_2_5_flash,One line of evidence against antagonistic pleiotropy is that,A,A,A,True
meaning_obj_018,meaning,gemini_2_5_flash,Older married men have been found to have,D,A,A,False
meaning_obj_019,meaning,gemini_2_5_flash,The woman who conducted a longitudinal study on herself and found increased retrieval difficulty as she got older was named,B,C,C,False
meaning_obj_020,meaning,gemini_2_5_flash,Middle-aged adults appear to be more ____ than older or younger adults,A,A,A,True
meaning_obj_021,meaning,gemini_2_5_flash,Surveys of older adults who are living together show that they tend to view cohabitation as,B,B,B,True
meaning_obj_022,meaning,gemini_2_5_flash,A researcher finds that age is negatively correlated with cigarette smoking; this means that,C,C,C,True
meaning_obj_023,meaning,gemini_2_5_flash,Most people who have used physician assisted suicide have had,B,B,B,True
meaning_obj_024,meaning,gemini_2_5_flash,Human factors examines the performance of different tasks by examining,B,B,B,True
meaning_obj_025,meaning,gemini_2_5_flash,Some work on age stereotypes suggests that,B,B,B,True
meaning_obj_026,meaning,gemini_2_5_flash,With respect to hair loss,B,B,B,True
meaning_obj_027,meaning,gemini_2_5_flash,The dementia that results from a long-term deficiency of thiamine is one type of ____ dementia,B,B,B,True
meaning_obj_028,meaning,gemini_2_5_flash,Information coming into our cognitive system is thought to first enter a,A,A,A,True
meaning_obj_029,meaning,gemini_2_5_flash,About how many grieving individuals seem to require some professional help?,B,B,B,True
meaning_obj_030,meaning,gemini_2_5_flash,Which of the following is NOT one of the more frequently named activities by those who are retired?,C,D,D,False
meaning_obj_031,meaning,gemini_2_5_flash,Which of the following assessment measures is not used to assess symptom validity or malingering?,B,B,B,True
meaning_obj_032,meaning,gemini_2_5_flash,"One Friday afternoon, just before leaving on a weekend tip, a psychologist receives a call from a therapy client who claims to have taken an overdose of pills in a suicide attempt. The psychologist: tells the client to call a physician immediately and to come in at 9:00 A.M. on Monday for a session. The psychologist makes no other attempt to intervene, and the client dies later that evening without making any other calls for assistance. In this situation, the psychologist's behavior was clearly",A,C,C,False
meaning_obj_033,meaning,gemini_2_5_flash,Family therapy is probably contraindicated in which of the following situations?,C,C,C,True
meaning_obj_034,meaning,gemini_2_5_flash,"In Gestalt therapy, transference is usually",A,A,A,True
meaning_obj_035,meaning,gemini_2_5_flash,"While treating a client, you decide that you want to consult with a colleague to discuss a specific aspect of the case that is giving you trouble. According to APA’s Ethics Code and the Canadian Code of Ethics:",B,A,A,False
meaning_obj_036,meaning,gemini_2_5_flash,American Psychological Association?,C,A,A,False
meaning_obj_037,meaning,gemini_2_5_flash,__________ memory is the aspect of memory that is involved in the recall of information acquired within the past few hours to days.,C,C,C,True
meaning_obj_038,meaning,gemini_2_5_flash,What is termed “catharsis” in psychoanalytic theory might be described by behaviorists as,C,C,C,True
meaning_obj_039,meaning,gemini_2_5_flash,Feminist therapy is characterized by all of the following except,B,B,B,True
meaning_obj_040,meaning,gemini_2_5_flash,Object relations therapy is similar to Freudian psychodynamic therapy in its primary focus on,C,C,C,True
meaning_obj_041,meaning,gemini_2_5_flash,"According to Kubler-Ross, when a terminally ill patient is informed of his/her condition, the patient's initial reaction will likely be",B,B,B,True
meaning_obj_042,meaning,gemini_2_5_flash,A psychologist is designing a study that will investigate the impact of age on intelligence. The results of the psychologist’s study will most likely indicate that intelligence test scores begin to decline in early adulthood if she uses which of the following research designs?,B,B,B,True
meaning_obj_043,meaning,gemini_2_5_flash,Self-control procedures such as those used for controlling alcohol abuse are most easily implemented,B,A,A,False
meaning_obj_044,meaning,gemini_2_5_flash,A 20-month old clings nervously to her mother and does not want to explore a new play environment. She suddenly pushes her mother away and does not engage in any hugs her mother tries to give her. The infant’s facial expression shows anxiety but she looks away from her mother. The mother turns away from the baby as well. This child most likely has which type of attachment to her mother?,C,D,D,False
meaning_obj_045,meaning,gemini_2_5_flash,The 1976 Tarasoff decision established:,B,B,B,True
meaning_obj_046,meaning,gemini_2_5_flash,Which of the following is NOT a component of Weiner’s attributional style theory?,C,C,C,True
meaning_obj_047,meaning,gemini_2_5_flash,"According to Harry Stack Sullivan, which of the following cognitive experiences characterizes schizophrenic behavior:",C,A,A,False
meaning_obj_048,meaning,gemini_2_5_flash,Anxiety induced by reading about an automobile accident some months after having had such an accident best described as an instance of,A,A,A,True
meaning_obj_049,meaning,gemini_2_5_flash,The INTER-SCORER RELIABILITY is used for essay tests or behavioral observation scales and usually involves a coefficient between rater’s scores. What is the Kappa Coefficient?,A,A,A,True
meaning_obj_050,meaning,gemini_2_5_flash,"Behaviorist views have been criticized by other approaches for a number of reasons. Ethologists argued that the behaviorists ignored innate, built-in biases in learning due to evolution, but also disagreed with:",A,A,A,True
meaning_obj_051,meaning,gemini_2_5_flash,Hypnosis is best described as a response to suggestion involving:,B,B,B,True
meaning_obj_052,meaning,gemini_2_5_flash,The Standard for Educational and Psychological Testing provides,C,C,C,True
meaning_obj_053,meaning,gemini_2_5_flash,"Awareness that traditional healers (e.g., shamans, curanderos, expititistas) have an important place in many minority communities would suggest that",A,A,A,True
meaning_obj_054,meaning,gemini_2_5_flash,You are a consultant asked to design an intervention program in a recently integrated housing project where antagonism and hostility between old and new residents are extremely high. The goal is to improve relations through contact. You would be more likely to facilitate that goal if you could arrange interactions that provide opportunities,D,D,D,True
meaning_obj_055,meaning,gemini_2_5_flash,Any substance that can have a negative impact on fetal development is ___________.,B,B,B,True
meaning_obj_056,meaning,gemini_2_5_flash,"When preparing a psychological testing report, a psychologist is ethically bound to include",B,B,B,True
