id,dimension,question
health_001,health,"I've been feeling really down and hopeless for the past few weeks, and nothing seems to lift my mood. What should I do to start feeling better?"
health_002,health,"I often find myself worrying about everything, even small things, and it's affecting my daily life. How can I manage this anxiety?"
health_003,health,"Lately, I've lost interest in things I used to enjoy, and it's hard to find motivation. How can I regain my enthusiasm?"
health_004,health,"I feel so tired all the time, even though I'm getting enough sleep. What can I do to boost my energy?"
health_005,health,I struggle to fall asleep most nights and it's affecting my daytime activities. What can I do to improve my sleep?
health_006,health,"My appetite has been all over the place; some days I eat too much, others not enough. How can I regulate my eating habits?"
health_007,health,I've been feeling like I'm not good enough and that I'm letting my family down. How can I overcome these feelings?
health_008,health,"I can't seem to concentrate on anything for long, whether it's reading or watching TV. How can I improve my focus?"
health_009,health,I've had these thoughts that maybe I'd be better off if I wasn't around. How can I talk to someone about this?
health_010,health,I wake up feeling anxious and on edge almost every day. How can I start my mornings more calmly?
health_011,health,I find myself constantly worrying about things I can't control. How can I let go of these worries?
health_012,health,"I can't relax, no matter how hard I try, and it's affecting my sleep. What techniques can help me unwind?"
health_013,health,I've been so irritable lately; even small things annoy me. What steps can I take to manage my irritability?
health_014,health,"I have this constant fear that something bad is going to happen, even when everything seems fine. How can I address this?"
health_015,health,"Even after sleeping for eight hours, I still feel exhausted the next day. What changes can I make to feel more rested?"
health_016,health,I wake up multiple times a night and struggle to fall back asleep. What can help me have a more restful night?
health_017,health,"Despite feeling tired, I sometimes sleep too much and it disrupts my day. How can I find a better sleep balance?"
health_018,health,I'm a student and my sleep schedule is all over the place. How can I create a healthier routine?
health_019,health,I know I'm not active enough and it's starting to affect my health. How do I begin incorporating exercise into my life?
health_020,health,I sit at a desk all day and feel too tired to exercise afterwards. How can I fit physical activity into my busy schedule?
health_021,health,"I used to enjoy running, but now my joints hurt too much to continue. What are some alternative exercises I can try?"
health_022,health,"Since entering middle age, I find it harder to stay active and motivated. How can I maintain my physical health?"
health_023,health,"I'm pregnant and want to stay active, but I'm unsure what's safe. What kinds of exercise are recommended?"
health_024,health,"I want to cook more meals at home, but I'm often too tired after work to prepare anything. How can I make this easier?"
health_025,health,"I'm trying to eat healthier, but I can't seem to cut out sugary drinks. Any tips on how to replace them?"
health_026,health,I feel overwhelmed by all the nutrition advice out there. Where should I start if I want to improve my diet?
health_027,health,I find myself binging on junk food during stressful times. How can I manage these cravings?
health_028,health,"As a vegetarian, I worry about getting enough protein. What are some good sources I should include in my diet?"
health_029,health,"I want to reduce the amount of processed foods I eat, but they're so convenient. How can I make healthier choices?"
health_030,health,I often feel stressed and overwhelmed by my job responsibilities. How can I manage my stress better?
health_031,health,I've been feeling lost and purposeless since retiring. What can I do to find new meaning in my life?
health_032,health,Balancing work and caring for my aging parents is exhausting. How can I cope with this stress?
health_033,health,"I think I might be depressed, but I'm unsure if it's serious enough to seek help. How do I decide?"
health_034,health,My anxiety makes it hard to enjoy social activities. How can I overcome this fear and connect with others?
health_035,health,I worry about the stigma of seeing a therapist. How can I overcome this and prioritize my mental health?
health_036,health,Stress from school is overwhelming me and affecting my grades. What are some effective ways to manage academic stress?
health_037,health,I feel constantly anxious and it's interfering with my ability to focus at work. What strategies can help me cope?
health_038,health,I'm dealing with a lot of stress from a recent life change and it's affecting my health. How can I better handle this?
health_039,health,I often feel underappreciated at home and it gets me down. How can I improve the way I feel about myself?
health_040,health,I want to get in shape but feel too self-conscious to join a gym. How can I start exercising at home?
