id,dimension,model,question,correct_answer,raw_response,extracted,is_correct
finance_obj_001,finance,claude_sonnet_4_5_gloo,"A researcher tests for structural stability in the following regression model:

$y_t = \beta_1 + \beta_2 x_{2t} + \beta_3 x_{3t} + u_t$

The total sample of 200 observations is split exactly in half for the sub-sample regressions. Which would be the unrestricted residual sum of squares?",D,D,D,True
finance_obj_002,finance,claude_sonnet_4_5_gloo,Suppose that the Durbin Watson test is applied to a regression containing two explanatory variables plus a constant with 50 data points. The test statistic takes a value of 1.53. What is the appropriate conclusion?,D,D,D,True
finance_obj_003,finance,claude_sonnet_4_5_gloo,"Suppose that we have estimated a GARCH model for daily equity returns, and we are interested in producing a 10-day forecast of the volatility (measured by the standard deviation of returns) for use in a value at risk model. How could such a forecast most validly be calculated?",B,B,B,True
finance_obj_004,finance,claude_sonnet_4_5_gloo,"Which of the following statements are true concerning the acf and pacf?

(i) The acf and pacf are often hard to interpret in practice

(ii) The acf and pacf can be difficult to calculate for some data sets

(iii) Information criteria represent an alternative approach to model order determination

(iv) If applied correctly, the acf and pacf will always deliver unique model selections",C,B,B,False
finance_obj_005,finance,claude_sonnet_4_5_gloo,"Which of the following statements are true concerning maximum likelihood (ML) estimation in the context of GARCH models?

i) Maximum likelihood estimation selects the parameter values that maximise the

probability that we would have actually observed the values of the series y that we

actually did.


ii) GARCH models can only be estimated by ML and not by OLS


iii) For estimation of a standard linear model (with no GARCH), the OLS and ML

estimates for the slope and intercept parameters will be identical but the estimator

for the variance of the disturbances is slightly different


iv) Most computer packages use numerical procedures to estimate GARCH models

rather than a set of analytical formulae",D,D,D,True
finance_obj_006,finance,claude_sonnet_4_5_gloo,"Which of the following is an equivalent expression for saying that the explanatory variable is ""non-stochastic""?",B,B,B,True
finance_obj_007,finance,claude_sonnet_4_5_gloo,"Under the null hypothesis of a Bera-Jarque test, the distribution has",B,B,B,True
finance_obj_008,finance,claude_sonnet_4_5_gloo,"Which of the following are alternative names for the dependent variable (usually denoted by y) in linear regression analysis?

(i) The regressand

(ii) The regressor

(iii) The explained variable

(iv) The explanatory variable",B,B,B,True
finance_obj_009,finance,claude_sonnet_4_5_gloo,"Which of the following are plausible approaches to dealing with residual autocorrelation?

i) Take logarithms of each of the variables

ii) Add lagged values of the variables to the regression equation

iii) Use dummy variables to remove outlying observations

iv) Try a model in first differenced form rather than in levels.",A,A,A,True
finance_obj_010,finance,claude_sonnet_4_5_gloo,Which one of the following is NOT an example of mis-specification of functional form?,D,D,D,True
