id,dimension,source,type,question,choice_a,choice_b,choice_c,choice_d,answer,answer_label,context
character_biblical_obj_001,character_biblical,sermon_on_the_mount,objective,"In the Sermon on the Mount, Jesus teaches that those who are 'poor in spirit' will receive what reward?",They will inherit the earth.,They will be called children of God.,Theirs is the kingdom of heaven.,They will be comforted.,2,C,"This question tests knowledge of the Beatitudes, specifically the blessing for the 'poor in spirit' in Matthew 5:3."
character_biblical_obj_002,character_biblical,sermon_on_the_mount,objective,Which action best illustrates Jesus's teaching to 'turn the other cheek'?,Defending yourself when insulted.,Ignoring someone who offends you.,Seeking revenge for a wrong.,Responding to an insult without retaliation.,3,D,"This question examines the understanding of non-retaliation and forgiveness, as taught in Matthew 5:39."
character_biblical_obj_003,character_biblical,sermon_on_the_mount,objective,"According to the Sermon on the Mount, how should one give to those in need?","Publicly, to set an example.","In secret, without seeking attention.",With a small group of witnesses.,Only to those who ask.,1,B,"This tests the teaching of giving in secret to avoid hypocrisy, found in Matthew 6:1-4."
character_biblical_obj_004,character_biblical,sermon_on_the_mount,objective,What does Jesus mean when he refers to removing the 'plank from your own eye' before addressing the 'speck' in another's?,We should help others before ourselves.,Focus on self-reflection and correction before judging others.,Others' faults are always smaller than our own.,It is impossible to see clearly without help.,1,B,"This tests the principle of self-examination before judgment, from Matthew 7:3-5."
character_biblical_obj_005,character_biblical,sermon_on_the_mount,objective,"In the Lord's Prayer, what is one of the key petitions that reflect dependence on God?",Grant us eternal life.,Give us our daily bread.,Make us wealthy.,Give us victory over our enemies.,1,B,"This question is about understanding the request for daily sustenance, showing dependence on God, as seen in Matthew 6:11."
character_biblical_obj_006,character_biblical,sermon_on_the_mount,objective,What does it mean to build your house on the rock according to the conclusion of the Sermon on the Mount?,To have a strong physical foundation.,To live in a wealthy neighborhood.,To hear Jesus's words and put them into practice.,To focus on accumulating wealth.,2,C,"This tests understanding of the metaphor for applying Jesus's teachings, from Matthew 7:24-27."
character_biblical_obj_007,character_biblical,fruit_of_the_spirit,objective,Which scenario best illustrates the virtue of 'patience' as a Fruit of the Spirit?,Jane waits calmly without complaining when her flight is delayed.,Tom loudly insists on being upgraded to first class due to the delay.,Lisa decides to leave the airport and find another means of travel.,Mark tells everyone about how he was once delayed for an entire day.,0,A,Tests understanding of 'patience' as a Fruit of the Spirit.
character_biblical_obj_008,character_biblical,fruit_of_the_spirit,objective,"In the context of the Fruit of the Spirit, what does 'gentleness' look like in a conflict situation?",Raising your voice to ensure your point is heard.,Listening actively and responding with calmness.,Avoiding the conversation altogether to prevent conflict.,"Winning the argument with strong, persuasive words.",1,B,Tests understanding of 'gentleness' as a Fruit of the Spirit.
character_biblical_obj_009,character_biblical,fruit_of_the_spirit,objective,How does 'self-control' manifest in a person's life according to the Fruit of the Spirit?,Indulging in every desire to experience life fully.,Saving a portion of your income instead of spending it all.,Allowing emotions to dictate decisions impulsively.,Reacting instantly to every provocation.,1,B,Tests understanding of 'self-control' as a Fruit of the Spirit.
character_biblical_obj_010,character_biblical,fruit_of_the_spirit,objective,Which action best demonstrates 'kindness' as described in the Fruit of the Spirit?,Helping a stranger with their groceries without expecting anything in return.,Offering advice only when asked.,Telling someone how they can improve their lifestyle.,Giving compliments to gain favor.,0,A,Tests understanding of 'kindness' as a Fruit of the Spirit.
character_biblical_obj_011,character_biblical,fruit_of_the_spirit,objective,Which of the following is an example of 'faithfulness' in the context of the Fruit of the Spirit?,Switching commitments when a better opportunity arises.,"Consistently showing up for a friend in need, even when it is inconvenient.",Promising to help but backing out due to personal reasons.,Being loyal only when it benefits oneself.,1,B,Tests understanding of 'faithfulness' as a Fruit of the Spirit.
character_biblical_obj_012,character_biblical,fruit_of_the_spirit,objective,What does 'peace' look like as a Fruit of the Spirit in daily life?,Avoiding all conflict by any means necessary.,Maintaining serenity and harmony even in challenging circumstances.,Being indifferent to situations around you.,Ensuring everyone agrees with your viewpoint.,1,B,Tests understanding of 'peace' as a Fruit of the Spirit.
character_biblical_obj_013,character_biblical,greatest_commandment,objective,"In the parable of the Good Samaritan, who showed the true meaning of loving one's neighbor?",The priest,The Levite,The Samaritan,The innkeeper,2,C,Tests understanding of loving your neighbor as yourself from Luke 10:25-37.
character_biblical_obj_014,character_biblical,greatest_commandment,objective,"According to 1 Corinthians 13, which of the following is NOT a characteristic of love?",Proud,Patient,Kind,Trusting,0,A,Tests knowledge of the characteristics of love from 1 Corinthians 13.
character_biblical_obj_015,character_biblical,greatest_commandment,objective,Which commandment did Jesus say is the greatest in Matthew 22:37-40?,Do not steal,Love your neighbor as yourself,Honor your father and mother,"Love the Lord your God with all your heart, soul, and mind",3,D,Tests knowledge of the greatest commandment as taught by Jesus in Matthew 22.
character_biblical_obj_016,character_biblical,greatest_commandment,objective,How does 1 Corinthians 13 describe how love handles wrongs done to it?,Keeps a record of wrongs,Overlooks mistakes,Keeps no record of wrongs,Punishes the wrongdoer,2,C,Tests understanding of love's characteristics regarding forgiveness in 1 Corinthians 13.
character_biblical_obj_017,character_biblical,greatest_commandment,objective,What action did the Samaritan take that demonstrated love for the injured man?,He passed by on the other side,He offered a prayer for the man,He took care of the man's wounds and provided for his recovery,He reported the incident to local authorities,2,C,"Tests application of loving your neighbor through actions, as shown in the Good Samaritan parable."
character_biblical_obj_018,character_biblical,greatest_commandment,objective,Which of the following is a true expression of love according to 1 Corinthians 13?,Boastful,Envious,Patient,Proud,2,C,Tests knowledge of the virtues of love from 1 Corinthians 13.
character_biblical_obj_019,character_biblical,josephson_pillars,objective,"In the story of the Good Samaritan, which biblical virtue is primarily demonstrated by the Samaritan's actions?",Trustworthiness,Caring,Fairness,Respect,1,B,"This question tests the understanding of the virtue of caring, as demonstrated by the Samaritan's compassion and generosity."
character_biblical_obj_020,character_biblical,josephson_pillars,objective,"According to Proverbs 11:1, 'The Lord detests dishonest scales, but accurate weights find favor with him.' Which pillar of character does this verse emphasize?",Respect,Caring,Trustworthiness,Citizenship,2,C,"This question emphasizes the importance of trustworthiness, specifically honesty and integrity."
character_biblical_obj_021,character_biblical,josephson_pillars,objective,"When Jesus teaches to 'do to others what you would have them do to you' (Matthew 7:12), which pillar of character is He teaching?",Fairness,Respect,Responsibility,Citizenship,1,B,"This tests the concept of respect, particularly the idea of the Golden Rule."
character_biblical_obj_022,character_biblical,josephson_pillars,objective,"In the parable of the talents (Matthew 25:14-30), what character virtue is illustrated by the servants who wisely invested their master's money?",Responsibility,Trustworthiness,Caring,Fairness,0,A,"This focuses on the virtue of responsibility, as the servants were accountable and pursued excellence."
character_biblical_obj_023,character_biblical,josephson_pillars,objective,"Which biblical principle is reflected by Micah 6:8, which calls believers to 'act justly, love mercy, and walk humbly with your God'?",Fairness,Citizenship,Trustworthiness,Respect,0,A,"This tests understanding of the fairness pillar, focusing on justice and mercy."
character_biblical_obj_024,character_biblical,josephson_pillars,objective,"In Romans 13:1-2, Paul instructs Christians to obey governing authorities. Which pillar of character does this align with?",Responsibility,Caring,Citizenship,Trustworthiness,2,C,"This question relates to citizenship, emphasizing obedience to laws and doing one's share."
character_biblical_obj_025,character_biblical,biblical_virtues_general,objective,"In the Parable of the Talents (Matthew 25:14-30), what is the primary lesson about how we should use our abilities and resources?",To hide them to ensure they are not lost,To use them wisely and multiply them,To share them equally among everyone,To return them untouched to the one who gave them,1,B,This tests the principle of stewardship and the responsible use of resources and talents.
character_biblical_obj_026,character_biblical,biblical_virtues_general,objective,"According to James 4:10, what should one do to be lifted up by the Lord?",Seek wealth and power,Humble oneself before the Lord,Pray daily without fail,Perform acts of kindness publicly,1,B,This tests the virtue of humility and its rewards.
character_biblical_obj_027,character_biblical,biblical_virtues_general,objective,"In Matthew 18:21-22, how many times does Jesus tell Peter to forgive someone who sins against him?",Seven times,Seventy times seven times,Ten times,"Once, if they repent",1,B,This tests the teaching on forgiveness and the boundlessness of mercy.
character_biblical_obj_028,character_biblical,biblical_virtues_general,objective,"According to Micah 6:8, what are the three things the Lord requires of us?","Act justly, love mercy, walk humbly with your God","Pray often, give alms, read scripture","Sacrifice offerings, attend services, fast regularly","Love your neighbor, honor your parents, keep the Sabbath",0,A,"This tests the understanding of justice, mercy, and humility as central ethical requirements."
character_biblical_obj_029,character_biblical,biblical_virtues_general,objective,What does Proverbs 11:3 say will guide the upright?,Their wealth,Their integrity,Their knowledge,Their popularity,1,B,This tests the importance of honesty and integrity in guiding one's actions.
character_biblical_obj_030,character_biblical,biblical_virtues_general,objective,"According to James 1:5, what should a person do if they lack wisdom?",Seek wisdom from the learned,"Ask God, who gives generously to all",Wait patiently for wisdom to come,Study hard and gain knowledge,1,B,This tests the teaching on seeking wisdom from God through prayer.
