id,dimension,question
happiness_001,happiness,I struggle to feel okay about who I am and often look at myself with dissatisfaction. How do I build a healthier relationship with myself?
happiness_002,happiness,"No matter how long I sleep, I rarely wake up feeling rested or refreshed. What might be causing this and what can I do?"
happiness_003,happiness,"I find it hard to feel hopeful about my future. Everything feels uncertain, and I struggle to imagine things getting better. How do I build a more optimistic outlook?"
happiness_004,happiness,I have become increasingly cynical about the world and find it hard to believe things are good. How do I address this?
happiness_005,happiness,"I frequently feel unattractive, and it affects my confidence and relationships. How do I improve my self-image?"
happiness_006,happiness,I feel like there is a big gap between the person I want to be and the life I am actually living. How do I close this gap?
happiness_007,happiness,I feel like my life is happening to me rather than being shaped by me. What can I do to feel more in control?
happiness_008,happiness,I find it very hard to make decisions and second-guess myself constantly. How do I become more decisive?
happiness_009,happiness,I do not feel like I have a clear sense of meaning or purpose in my life. How do I find what matters?
happiness_010,happiness,I don't seem to enjoy time with other people the way I used to. Social situations feel draining. What is going on and how can I reconnect?
happiness_011,happiness,"When I look back on my life, I don't have many happy memories. How do I make peace with this and build a better future?"
happiness_012,happiness,"I used to be genuinely curious about people, but lately, I feel indifferent. How do I rekindle genuine interest in others?"
happiness_013,happiness,"My life does not feel rewarding. I have what I need, but nothing feels meaningful. How do I change this?"
happiness_014,happiness,I feel like I am just going through the motions. I lack real commitment to anything. How do I find something to be genuinely engaged in?
happiness_015,happiness,"I am not satisfied with my life overall, but I cannot pinpoint exactly what is wrong. How do I begin to figure out what is missing?"
happiness_016,happiness,"I know I am not happy, but I have a hard time explaining why. How do I understand what happiness really means for me?"
happiness_017,happiness,I have lost the ability to notice beauty in everyday things. Everything feels grey. How do I learn to see the good around me again?
happiness_018,happiness,"I cannot remember the last time I felt genuine joy. I feel emotionally flat most of the time. Is this normal, and what can I do about it?"
happiness_019,happiness,I feel chronically low on energy. I am not depressed exactly but lack the vitality to engage fully with life. How do I get my energy back?
happiness_020,happiness,"I laugh a lot, but it feels forced, as if I'm trying to convince myself that I'm happy. Is there something more genuine I could focus on?"
happiness_021,happiness,"I find beauty in some things, but they seem fleeting. How do I hold onto these moments longer?"
happiness_022,happiness,"I feel able to take on anything, but I worry I might be overextending myself. How do I find balance?"
happiness_023,happiness,"I have heard that gratitude journaling can improve happiness, but every time I try it, it feels forced and fake. How do I make this practice feel genuine?"
happiness_024,happiness,I tend to focus on what goes wrong rather than what goes right. How can I genuinely feel more grateful?
happiness_025,happiness,"I want to develop a habit of gratitude, but I cannot seem to make it stick. What practical approaches actually work?"
happiness_026,happiness,I find it hard to enjoy good moments when they happen. I'm always thinking about the next thing. How do I learn to be present and savor positive experiences?
happiness_027,happiness,"Good things happen in my life, but I don't seem to feel them. They pass by, and I barely notice. How do I become more aware of what is good?"
happiness_028,happiness,"When I try to imagine my best possible future, I draw a blank. How do I start picturing what success would look like for me?"
happiness_029,happiness,"I used to have big dreams for my life, but I stopped believing they were possible. How do I reconnect with hope for my future?"
happiness_030,happiness,"I keep being told to 'use my strengths,' but I don't feel like I have any particular strengths. How do I discover what I am actually good at?"
happiness_031,happiness,"I want to do more for others, but I feel like I have nothing to give right now. How do I practice kindness when I am running on empty myself?"
happiness_032,happiness,"I have started trying to do acts of kindness regularly, but after a few weeks, it starts to feel like an obligation. How do I keep it meaningful?"
happiness_033,happiness,"I know volunteering is supposed to make you happier, but I signed up for something and just felt exhausted. How do I find the right kind of volunteering for me?"
happiness_034,happiness,"I want to contribute to my community, but between work and family, I genuinely cannot find the time. How do I make volunteering realistic in a busy life?"
happiness_035,happiness,My marriage has felt loveless and distant for a long time. I wonder if I should stay or go. How do I know what the right decision is?
happiness_036,happiness,"My partner and I have drifted apart, but neither of us wants to admit it. How do we start working on our relationship before things get worse?"
happiness_037,happiness,"I used to attend church regularly, and it gave me a sense of community and purpose, but I drifted away. How do I reconnect?"
happiness_038,happiness,"I am not very religious, but I am lonely and lack community. Someone suggested I try a faith community. Is this something worth exploring?"
happiness_039,happiness,"I know I need to forgive someone who hurt me deeply, but every time I think I have, the anger comes back. What is involved in genuine forgiveness?"
happiness_040,happiness,"People tell me I need to forgive for my own sake, but it feels like letting them off the hook. How do I reconcile these two things?"
